s,scenario_id,month_id,monthly_probability,assigned_month_count,NPER
1,M201501,2015-01,0.0687022900763358,9,744
2,M201506,2015-06,0.0687022900763358,9,720
3,M201603,2016-03,0.0687022900763358,9,744
4,M201806,2018-06,0.0916030534351145,12,720
5,M201809,2018-09,0.0839694656488549,11,720
6,M201810,2018-10,0.0534351145038167,7,744
7,M202004,2020-04,0.0381679389312977,5,720
8,M202103,2021-03,0.0534351145038167,7,744
9,M202108,2021-08,0.0610687022900763,8,744
10,M202201,2022-01,0.0534351145038167,7,744
11,M202204,2022-04,0.0916030534351145,12,720
12,M202210,2022-10,0.0610687022900763,8,744
13,M202302,2023-02,0.0610687022900763,8,672
14,M202305,2023-05,0.0610687022900763,8,744
15,M202411,2024-11,0.0839694656488549,11,720
